"id"	"sheet_no"	"cas"	"cas_no"	"goods_name"
"191"	"表2"	"10102-53-1"	"10102-53-1"	"偏砷酸"
"192"	"表2"	"7774-41-6"	"7774-41-6"	"砷酸，半水"
"193"	"表4"	"7778-39-4[溶液]"	"7778-39-4"	"砷酸，溶液"
"194"	"表4"	"7778-39-4[稀硝酸溶液]"	"7778-39-4"	"砷酸，稀硝酸溶液"
"195"	"表4"	"7778-39-4"	"7778-39-4"	"砷酸"
"196"	"表2"	"7783-08-6"	"7783-08-6"	"硒酸"
"197"	"表3"	"7697-37-2[含量≥70%]"	"7697-37-2"	"硝酸"
"198"	"表3"	"7697-37-2[含量65-70%]"	"7697-37-2"	"硝酸"
"199"	"表3"	"7697-37-2[含量＜65%]"	"7697-37-2"	"硝酸"
"200"	"表2"	"7789-31-3"	"7789-31-3"	"溴酸"
"201"	"表2"	"13598-36-2"	"13598-36-2"	"亚磷酸"
"202"	"表2"	"10294-56-1"	"10294-56-1"	"亚磷酸，水溶液"
"203"	"表2"	"7782-99-2"	"7782-99-2"	"亚硫酸"
"204"	"表4"	"7783-00-8"	"7783-00-8"	"亚硒酸"
"205"	"表4"	"7783-00-8[稀硝酸溶液]"	"7783-00-8"	"亚硒酸，稀硝酸溶液"
"206"	"表2"	"8017-16-1"	"8017-16-1"	"多聚磷酸"
"207"	"表2"	"13779-41-4"	"13779-41-4"	"二氟磷酸"
"208"	"表2"	"13537-32-1"	"13537-32-1"	"氟磷酸"
"209"	"表2"	"7789-21-1"	"7789-21-1"	"氟磺酸"
"210"	"表2"	"16940-81-1"	"16940-81-1"	"六氟磷酸"
"211"	"表2"	"7790-94-5"	"7790-94-5"	"氯磺酸"
"212"	"表3"	"51602-38-1[含硝酸＞50%]"	"51602-38-1"	"硝化酸混合物"
"213"	"表3"	"51602-38-1[含硝酸≤50%]"	"51602-38-1"	"硝化酸混合物"
"214"	"表3"	"10034-85-2[无水]"	"10034-85-2"	"碘化氢"
"215"	"表4"	"16961-83-4"	"16961-83-4"	"氟硅酸，水溶液"
"216"	"表3"	"16961-83-4[无水]"	"16961-83-4"	"氟硅酸"
"217"	"表3"	"7664-39-3[无水]"	"7664-39-3"	"氟化氢"
"218"	"表2"	"16872-11-0"	"16872-11-0"	"氟硼酸"
"219"	"表2"	"18497-13-7"	"18497-13-7"	"氯铂酸，六水"
"220"	"表2"	"26023-84-7"	"26023-84-7"	"氯铂酸，水合"
"221"	"表4"	"16941-12-1[水溶液]"	"16941-12-1"	"氯铂酸，水溶液"
"222"	"表4"	"16941-12-1[稀盐酸溶液]"	"16941-12-1"	"氯铂酸，稀盐酸溶液"
"223"	"表4"	"16941-12-1"	"16941-12-1"	"氯铂酸"
"224"	"表3"	"7647-01-0[无水]"	"7647-01-0"	"氯化氢"
"225"	"表4"	"7647-01-0[易燃溶剂溶液]"	"7647-01-0"	"氯化氢，溶液"
"226"	"表3"	"7647-01-0[冷冻液态]"	"7647-01-0"	"氯化氢，液态"
"227"	"表4"	"7647-01-0[乙醚溶液]"	"7647-01-0"	"氯化氢，乙醚溶液"
"228"	"表2"	"132228-87-6"	"132228-87-6"	"氯化氢-甲醇，溶液"
"229"	"表4"	"10034-85-2[水溶液]"	"10034-85-2"	"氢碘酸"
"230"	"表4"	"7664-39-3[水溶液]"	"7664-39-3"	"氢氟酸"
"231"	"表3"	"74-90-8[含量≤20%]"	"74-90-8"	"氢氰酸"
"232"	"表4"	"10035-10-6[乙酸溶液]"	"10035-10-6"	"氢溴酸，乙酸溶液"
"233"	"表4"	"10035-10-6[水溶液]"	"10035-10-6"	"氢溴酸"
"234"	"表3"	"74-90-8"	"74-90-8"	"氰化氢"
"235"	"表4"	"16903-35-8[稀盐酸溶液]"	"16903-35-8"	"四氯金(Ⅲ)酸，稀盐酸溶液"
"236"	"表4"	"16903-35-8"	"16903-35-8"	"四氯金(Ⅲ)酸"
"237"	"表4"	"7647-01-0[稀溶液]"	"7647-01-0"	"稀盐酸溶液"
"238"	"表3"	"10035-10-6[无水]"	"10035-10-6"	"溴化氢"
"239"	"表4"	"7647-01-0[水溶液]"	"7647-01-0"	"盐酸"
"240"	"表2"	"8007-56-5"	"8007-56-5"	"硝基盐酸"
"241"	"表4"	"[hach硫酸溶液]"	"NA"	"硫酸溶液"
